"No.","Time","Source","Destination","Protocol","Length","Port","Info"
"25","8.837328","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=6301 Win=28980 Len=0 TSval=1644747422 TSecr=1776280246"
"26","8.847296","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ip.access HANDOover CANDidate ENQuiry "
"27","8.847320","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=7749 Ack=2681 Win=6826 Len=1448 TSval=1776280256 TSecr=1644747382"
"28","8.847391","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=9197 Ack=2681 Win=6826 Len=1448 TSval=1776280256 TSecr=1644747382"
"29","8.847405","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=10645 Ack=2681 Win=6826 Len=1448 TSval=1776280256 TSecr=1644747382"
"30","8.847419","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=12093 Ack=2681 Win=6826 Len=1448 TSval=1776280256 TSecr=1644747382"
"31","8.847424","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=9197 Win=28988 Len=0 TSval=1644747432 TSecr=1776280256"
"32","8.847552","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=12093 Win=28992 Len=0 TSval=1644747432 TSecr=1776280256"
"33","8.857514","10.0.0.101","192.168.0.3","TCP","580","5000,35644","5000  >  35644 [PSH, ACK] Seq=13541 Ack=2681 Win=6826 Len=514 TSval=1776280264 TSecr=1644747422"
"34","8.857532","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ip.access HANDOover CANDidate ENQuiry "
"35","8.857579","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=15503 Ack=2681 Win=6826 Len=1448 TSval=1776280267 TSecr=1644747422"
"36","8.857591","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=16951 Ack=2681 Win=6826 Len=1448 TSval=1776280267 TSecr=1644747422"
"37","8.857615","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=14055 Win=29004 Len=0 TSval=1644747442 TSecr=1776280256"
"38","8.857626","10.0.0.101","192.168.0.3","IPA","1514","5000,35644","MGCP (old) "
"39","8.857652","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","DATA REQuest (DTAP) (CC) "
"40","8.857711","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=19847 Win=28956 Len=0 TSval=1644747442 TSecr=1776280267"
"41","8.867736","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=21295 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"42","8.867758","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=22743 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"43","8.867799","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=24191 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"44","8.867845","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=24191 Win=28992 Len=0 TSval=1644747452 TSecr=1776280267"
"45","8.867855","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=25639 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"46","8.867871","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=27087 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"47","8.867925","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=27087 Win=29004 Len=0 TSval=1644747452 TSecr=1776280279"
"48","8.868008","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","MultiRate CODEC MOD ACKnowledge "
"49","8.868022","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=29983 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"50","8.868035","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=31431 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"51","8.868043","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=32879 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"52","8.868054","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=34327 Ack=2681 Win=6826 Len=1448 TSval=1776280279 TSecr=1644747432"
"53","8.868724","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=2681 Ack=35775 Win=28932 Len=0 TSval=1644747453 TSecr=1776280279"
"54","8.869425","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"55","8.878075","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=35775 Ack=2681 Win=6826 Len=1448 TSval=1776280285 TSecr=1644747442"
"56","8.878095","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=37223 Ack=2681 Win=6826 Len=1448 TSval=1776280285 TSecr=1644747442"
"57","8.878119","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ip.access HANDOover CANDidate RESPonse "
"58","8.878207","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3217 Ack=40119 Win=28976 Len=0 TSval=1644747462 TSecr=1776280285"
"59","8.878373","10.0.0.101","192.168.0.3","IPA","1514","5000,35644","HSL Debug [Malformed Packet: length of contained item exceeds length of containing item]"
"60","8.878401","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","CONNection FAILure "
"61","8.878409","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","MultiRate CODEC MODification REQuest "
"62","8.878416","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=44463 Ack=2681 Win=6826 Len=1448 TSval=1776280285 TSecr=1644747442"
"63","8.878427","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=45911 Ack=2681 Win=6826 Len=1448 TSval=1776280285 TSecr=1644747442"
"64","8.878433","10.0.0.101","192.168.0.3","RSL","1420","5000,35644","Osmocom PRIMARY ETWS CMD "
"65","8.878440","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","NOTification CoMmanD "
"66","8.878454","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","unknown 107 "
"67","8.878481","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3217 Ack=43015 Win=28992 Len=0 TSval=1644747463 TSecr=1776280285"
"68","8.878565","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3217 Ack=51609 Win=28920 Len=0 TSval=1644747463 TSecr=1776280285"
"69","8.888457","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=51609 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"70","8.888479","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=53057 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"71","8.888509","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=54505 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"72","8.888546","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=55953 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"73","8.888557","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3217 Ack=54505 Win=28992 Len=0 TSval=1644747473 TSecr=1776280303"
"74","8.888561","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=57401 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"75","8.888634","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=58849 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"76","8.888641","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3217 Ack=57401 Win=28968 Len=0 TSval=1644747473 TSecr=1776280303"
"77","8.888659","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=60297 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"78","8.888692","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=61745 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"79","8.888693","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3217 Ack=60297 Win=29004 Len=0 TSval=1644747473 TSecr=1776280303"
"80","8.888705","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=63193 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"81","8.888749","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=64641 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"82","8.888761","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","UNIT DATA REQuest "
"83","8.888770","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=67537 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"84","8.888796","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=68985 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"85","8.888828","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=70433 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"86","8.888883","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=71881 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"87","8.888898","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=73329 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"88","8.889276","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"89","8.899002","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=74777 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"90","8.899025","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=76225 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"91","8.899050","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=77673 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454 [TCP segment of a reassembled PDU]"
"92","8.899086","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3753 Ack=77673 Win=28992 Len=0 TSval=1644747483 TSecr=1776280303"
"93","8.899104","10.0.0.101","192.168.0.3","THRIFT","1514","5000,35644","ONEWAY \357\277\275)\031\357\277\275\357\277\275T\357\277\275\n\357\277\275`\357\277\275\357\277\275\357\277\275\357\277\275\357\277\275\357\277\275\357\277\275\306\262)\357\277\275\0207{\003%l\357\277\275\357\277\275s;5\357\277\275\357\277\275\030E"",\357\277\275\030Q\004\357\277\275`h\357\277\275\357\277\275\357\277\275\357\277\2750\357\277\275\357\277\275\357\277\275\t\357\277\275N\357\277\275\357\277\275k\357\277\275R]\036\357\277\275e\357\277\275\357\277\275;,\357\277\275Ch\023h1?\357\277\275\357\277\275I\357\277\275\357\277\275Z\025O\357\277\275-\354\272\257\357\277\275'\rA!\357\277\275$9b\357\277\275\357\277\275\357\277\275\026\357\277\275fOZ\324\202z\0053\357\277\275\035\357\277\275:YdXG\357\277\275\034\357\277\275[\357\277\275\tV\001"
"94","8.899129","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=80569 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"95","8.899149","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=82017 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"96","8.899165","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3753 Ack=80569 Win=29004 Len=0 TSval=1644747483 TSecr=1776280303"
"97","8.899176","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=83465 Ack=3217 Win=6826 Len=1448 TSval=1776280303 TSecr=1644747454"
"98","8.899223","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3753 Ack=84913 Win=28980 Len=0 TSval=1644747483 TSecr=1776280303"
"99","8.899247","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ERROR INDication "
"100","8.899259","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=86361 Ack=3217 Win=6826 Len=1448 TSval=1776280306 TSecr=1644747462"
"101","8.899283","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=87809 Ack=3217 Win=6826 Len=1448 TSval=1776280306 TSecr=1644747462"
"102","8.899294","10.0.0.101","192.168.0.3","TCP","414","5000,35644","5000  >  35644 [PSH, ACK] Seq=89257 Ack=3217 Win=6826 Len=348 TSval=1776280306 TSecr=1644747463"
"103","8.899304","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","NOTification CoMmanD "
"104","8.899327","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=91053 Ack=3217 Win=6826 Len=1448 TSval=1776280313 TSecr=1644747463"
"105","8.899328","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3753 Ack=87809 Win=28992 Len=0 TSval=1644747484 TSecr=1776280306"
"106","8.899786","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=3753 Ack=92501 Win=28944 Len=0 TSval=1644747484 TSecr=1776280306"
"107","8.909455","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=92501 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"108","8.909486","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=93949 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"109","8.909525","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=95397 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"110","8.909572","192.168.0.3","10.0.0.101","RSL","1138","35644,5000","CHANnel ReQuireD "
"111","8.909602","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=96845 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"112","8.909610","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=98293 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"113","8.909626","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=99741 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"114","8.909676","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=96845 Win=28976 Len=0 TSval=1644747494 TSecr=1776280323"
"115","8.909717","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","PHYsical CONTEXT CONFirm "
"116","8.909725","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=102637 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"117","8.909732","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","unknown 14 "
"118","8.909781","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=99741 Win=28992 Len=0 TSval=1644747494 TSecr=1776280323"
"119","8.909817","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=105533 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"120","8.909827","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=106981 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"121","8.909866","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=108429 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"122","8.909883","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=109877 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"123","8.909891","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=111325 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"124","8.909946","10.0.0.101","192.168.0.3","SCCP (Int. ITU)","1514","5000,35644","Unknown: 129 "
"125","8.909956","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=114221 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"126","8.909963","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=112773 Win=28884 Len=0 TSval=1644747494 TSecr=1776280323"
"127","8.910007","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=115669 Win=28860 Len=0 TSval=1644747494 TSecr=1776280323"
"128","8.919993","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=115669 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"129","8.920013","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=117117 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"130","8.920070","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=118565 Win=28992 Len=0 TSval=1644747504 TSecr=1776280323"
"131","8.920430","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=118565 Ack=3753 Win=6826 Len=1448 TSval=1776280323 TSecr=1644747473"
"132","8.920455","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ip.access PDCH DEACTIVATION NACK "
"133","8.920464","10.0.0.101","192.168.0.3","TCP","276","5000,35644","5000  >  35644 [PSH, ACK] Seq=121461 Ack=3753 Win=6826 Len=210 TSval=1776280327 TSecr=1644747484"
"134","8.920471","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ip.access HANDOover CANDidate ENQuiry "
"135","8.920479","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=123119 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"136","8.920490","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=124567 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"137","8.920497","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=126015 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"138","8.920512","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=127463 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"139","8.920520","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=128911 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"140","8.920528","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","ip.access PDCH DEACTIVATION ACK "
"141","8.920539","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=131807 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"142","8.920547","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=133255 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"143","8.920556","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=134703 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"144","8.920567","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=136151 Ack=3753 Win=6826 Len=1448 TSval=1776280333 TSecr=1644747484"
"145","8.920638","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=121461 Win=28992 Len=0 TSval=1644747505 TSecr=1776280323"
"146","8.920718","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=4825 Ack=137599 Win=28844 Len=0 TSval=1644747505 TSecr=1776280327"
"148","8.927639","192.168.0.3","10.0.0.101","RSL","1514","35644,5000","PAGING CoMmanD "
"149","8.930535","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=137599 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"150","8.930551","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","unknown 88 "
"151","8.930568","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=140495 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"152","8.930645","192.168.0.3","10.0.0.101","TCP","204","35644,5000","35644  >  5000 [PSH, ACK] Seq=6273 Ack=140495 Win=28992 Len=138 TSval=1644747515 TSecr=1776280344"
"153","8.930748","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=141943 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"154","8.930766","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=143391 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"155","8.930779","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=144839 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"156","8.930784","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=146287 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"157","8.930790","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","unknown 80 "
"158","8.930798","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","unknown 107 "
"159","8.930803","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=150631 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"160","8.930808","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=152079 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"161","8.930820","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=6411 Ack=143391 Win=29004 Len=0 TSval=1644747515 TSecr=1776280344"
"162","8.930823","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=153527 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
"163","8.930901","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [ACK] Seq=154975 Ack=4825 Win=6826 Len=1448 TSval=1776280344 TSecr=1644747494"
